,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1990-01-01,4.5,0.6,7.2,7.1,0.0,284.0,29.2,61.2,1006.4,
1,1990-01-02,1.6,-2.2,5.6,0.0,0.0,277.0,22.3,40.7,1025.6,
2,1990-01-03,2.3,-2.2,8.9,0.0,0.0,231.0,12.2,27.7,1026.0,
3,1990-01-04,4.2,-0.6,10.6,0.0,0.0,220.0,14.8,33.5,1017.0,
4,1990-01-05,5.5,1.7,8.3,0.0,0.0,297.0,16.6,46.4,1018.7,
5,1990-01-06,3.0,0.6,7.2,0.0,0.0,325.0,13.3,37.1,1016.9,
6,1990-01-07,1.6,-3.9,4.4,0.0,0.0,,14.4,31.3,1019.5,
7,1990-01-08,1.9,0.0,5.6,29.2,0.0,,14.4,42.5,1012.1,
8,1990-01-09,3.5,0.0,7.2,0.0,0.0,192.0,16.9,40.7,1013.1,
9,1990-01-10,5.5,3.3,8.3,0.8,0.0,255.0,23.4,51.8,1003.3,
10,1990-01-11,4.1,1.7,5.6,0.0,0.0,240.0,22.7,48.2,1003.6,
11,1990-01-12,2.7,0.0,6.1,0.0,0.0,272.0,29.2,55.4,997.6,
12,1990-01-13,-1.5,-3.9,1.1,0.0,0.0,312.0,32.0,53.6,1014.0,
13,1990-01-14,-0.6,-3.9,2.8,0.0,0.0,263.0,20.9,42.5,1027.9,
14,1990-01-15,3.2,1.1,5.0,2.5,0.0,224.0,15.8,40.7,1025.4,
15,1990-01-16,5.1,0.6,10.6,0.0,0.0,227.0,13.0,27.7,1025.5,
16,1990-01-17,6.7,2.8,10.6,0.0,0.0,202.0,15.5,35.3,1023.9,
17,1990-01-18,10.7,6.7,15.0,0.0,0.0,232.0,18.4,46.4,1013.9,
18,1990-01-19,4.0,-2.2,7.8,0.0,0.0,319.0,22.7,50.0,1026.5,
19,1990-01-20,1.0,-1.7,2.8,11.7,0.0,132.0,9.4,31.3,1022.4,
20,1990-01-21,2.2,0.6,2.8,3.0,0.0,60.0,15.1,42.5,1009.2,
21,1990-01-22,3.3,-1.1,6.1,1.0,0.0,191.0,12.6,29.5,1011.2,
22,1990-01-23,4.5,1.1,7.8,0.0,0.0,245.0,16.9,40.7,1018.1,
23,1990-01-24,7.7,5.6,12.2,0.0,0.0,173.0,15.5,46.4,1015.3,
24,1990-01-25,7.7,5.6,10.0,21.3,0.0,158.0,16.6,53.6,1012.7,
25,1990-01-26,5.8,2.8,9.4,8.9,0.0,278.0,25.9,48.2,1007.0,
26,1990-01-27,3.1,0.0,6.7,0.0,0.0,243.0,22.0,44.3,1024.9,
27,1990-01-28,6.3,2.2,14.4,0.0,0.0,267.0,18.7,35.3,1023.9,
28,1990-01-29,5.4,3.9,7.2,11.9,0.0,71.0,24.5,50.0,1017.7,
29,1990-01-30,5.5,2.2,7.8,14.5,0.0,331.0,25.9,61.2,1009.3,
30,1990-01-31,3.5,-0.6,7.8,0.0,0.0,144.0,11.2,22.3,1024.6,
31,1990-02-01,5.5,1.1,9.4,0.0,0.0,206.0,16.2,33.5,1023.1,
32,1990-02-02,8.6,5.0,11.7,0.8,0.0,293.0,14.0,29.5,1014.4,
33,1990-02-03,2.9,1.1,5.0,0.3,0.0,57.0,19.8,40.7,1023.9,
34,1990-02-04,2.9,0.0,4.4,7.1,0.0,53.0,22.0,40.7,1010.0,
